YEAR,MO,DY,T2M,T2MDEW,T2M_MIN,T2M_MAX,QV2M,PRECTOTCORR,PS,WS50M_MAX,WS50M_MIN,WS10M
1985,1,1,12.36,-2.92,5.68,21.5,3.23,0,96.89,7.97,3.25,3.35
1985,1,2,11.18,-7.24,4.64,20.35,2.26,0,97.19,8.47,0.76,3.15
1985,1,3,11.23,-8.38,5.12,19.85,2.01,0,97.19,7.74,0.46,2.54
1985,1,4,12.77,-6.98,5.69,20.59,2.26,0,96.91,6.34,1.61,2.8
1985,1,5,13.75,-1,7.94,22.08,3.72,0.01,96.81,8.22,1.06,2.95
1985,1,6,12.56,0.8,5.83,20.52,4.21,0,96.91,7.64,1.86,3.07
1985,1,7,12.63,1.08,8.23,20.42,4.27,0.53,96.91,6.73,2.49,2.93
1985,1,8,13.32,1.7,7.51,21.15,4.46,0,97.01,5.87,0.71,1.83
1985,1,9,13.77,-0.53,5.94,22.7,3.78,0,97.04,5.49,0.15,2.19
1985,1,10,14.67,0.08,6.88,23.93,3.97,0,96.97,6.79,0.73,2.78
1985,1,11,14.63,-1.78,7.61,23.59,3.42,0,96.92,7.57,0.49,2.64
1985,1,12,13.62,-3.15,6.36,23.26,3.11,0,96.98,8.47,0.4,3.02
1985,1,13,13.37,-4.33,6.37,22.83,2.81,0,97.21,7.87,0.94,2.98
1985,1,14,13.83,-6.46,6.59,23.55,2.38,0,97.09,7.06,2.11,2.95
1985,1,15,14.98,-5.33,8.85,23.74,2.62,0,96.98,9.45,0.59,2.86
1985,1,16,14.98,-2.62,7.9,24.95,3.23,0,97.08,7.98,1.56,2.59
1985,1,17,13.86,-2.31,7.45,21.4,3.36,0,97.1,6.31,0.56,2.16
1985,1,18,16.35,-3.14,9.87,24.87,3.11,0,96.82,6.66,1.79,3.08
1985,1,19,15.57,3.77,10.57,23.55,5.37,0.04,96.75,8.65,4.42,4.39
1985,1,20,14.55,5.64,8.62,23.07,5.92,0,96.84,7.45,1.69,3.15
1985,1,21,14.08,6.41,9.45,21.23,6.23,0.15,96.87,6.57,0.52,2.32
1985,1,22,14.9,4.3,7.89,24.44,5.43,0,97.11,6.59,1.84,2.46
1985,1,23,13.76,-1.13,6.43,23.34,3.66,0.05,97.24,7.56,0.87,2.78
1985,1,24,14.9,-6.49,7.15,24.76,2.38,0,97.01,6.28,0.9,2.48
1985,1,25,16.37,-7.28,8.46,25.96,2.2,0,96.73,8.34,1.08,2.36
1985,1,26,17.17,-3.29,8.15,27.55,3.17,0,96.37,9.41,2.55,3.89
1985,1,27,15.18,-1.87,8.05,23.96,3.48,0,96.64,8.77,5.04,4.23
1985,1,28,14.93,-4.52,8.81,23.95,2.81,0,96.75,7.98,0.42,3
1985,1,29,15.94,-4.59,8.05,25.65,2.75,0,96.79,6.38,0.55,2.46
1985,1,30,17.18,-4.6,9.08,26.94,2.81,0,96.72,8.66,0.58,2.75
1985,1,31,16.51,-6.42,8.77,26.31,2.38,0,96.64,8.95,0.43,3.11
1985,2,1,16.19,-6.36,8.79,25.83,2.38,0,96.71,8.12,2.34,3.34
1985,2,2,17.12,-4.81,10.69,26.4,2.75,0,96.71,6.98,1.37,2.5
1985,2,3,18.58,-2.81,9.9,28.12,3.23,0,96.6,6.93,1.57,2.41
1985,2,4,20.63,1.69,12.33,30.2,4.58,0,96.11,9.87,0.64,3.91
1985,2,5,17.4,0.63,10.88,26.51,4.21,0,96.03,9.03,4.32,4.68
1985,2,6,14.87,-7.24,6.56,25.55,2.32,0,96.15,7.55,3.57,3.38
1985,2,7,18.44,-11.78,10.18,27.86,1.46,0,96.19,4.99,0.71,1.73
1985,2,8,18.9,-8.02,13.03,28.62,2.14,0,96.03,5.56,0.2,2.48
1985,2,9,17.26,-8.69,9.71,27.76,2.01,0,96.13,8.99,1.65,2.88
1985,2,10,15.19,-13.72,7.1,25.92,1.22,0,96.32,8.77,2.08,3.41
1985,2,11,14.76,-15.42,6.08,26.15,1.04,0,96.48,8.01,3.98,3.8
1985,2,12,15.11,-15.09,6.98,25.97,1.1,0,96.54,6.98,3.27,3.37
1985,2,13,17.01,-13.13,9.82,27.06,1.28,0,96.45,6.3,1.08,2.02
1985,2,14,16.9,-12.18,9.15,27.65,1.4,0,96.45,7.78,0.88,2.72
1985,2,15,16.93,-11.44,9.63,26.62,1.53,0,96.41,6.11,2.52,3.31
1985,2,16,18.27,-11.32,11.15,28.5,1.53,0,96.3,6.42,1.02,2.95
1985,2,17,19.71,-12.38,10.68,30.26,1.4,0,96.39,5.77,0.44,2.02
1985,2,18,19.17,-12.9,9.91,30.89,1.34,0,96.28,7.73,3.2,3.46
1985,2,19,18.21,-6.13,9.73,28.13,2.5,0,96.16,7.82,4.74,4.33
1985,2,20,16.73,-8.81,9.16,26.23,2.01,0,96.41,10.89,4.13,5.17
1985,2,21,16.33,-6.6,8.06,26.99,2.38,0,96.71,8.36,4.6,4.41
1985,2,22,17.77,-11.75,8.21,29.56,1.53,0,96.6,7.23,2.98,3.91
1985,2,23,20.98,-14.6,12.2,30.94,1.1,0,96.45,5.61,1.32,2.33
1985,2,24,20.67,-13.37,13.53,31.15,1.28,0,96.41,7.82,0.95,3.17
1985,2,25,19.46,-14.21,9.86,31.56,1.16,0,96.57,9.16,4.45,4.91
1985,2,26,20.51,-13.8,10.89,32.61,1.22,0,96.41,9.25,5.09,5.02
1985,2,27,23.13,-13.45,13.37,35.2,1.22,0,96.4,6.34,1.98,3.16
1985,2,28,23.27,-8.13,15.67,33.98,2.2,0,96.41,7.85,1.93,3.31
1985,3,1,23.11,-6.15,13.36,34.19,2.44,0,96.35,7.55,3.27,3.48
1985,3,2,24.19,-7.36,14.8,35.62,2.2,0,96.28,6.71,1.5,3.41
1985,3,3,24.53,-8.33,14.76,35.41,2.08,0,96.22,6.29,3.55,3.44
1985,3,4,24.48,-12.05,15.57,35.5,1.4,0,96.47,6.55,3.12,3.36
1985,3,5,26.21,-9.02,17.19,37.17,1.95,0,96.57,5.7,1.08,2.54
1985,3,6,25.34,-3.7,16.08,36.35,2.99,0,96.32,8.73,3.89,4.67
1985,3,7,24.58,-10,16,34.8,1.77,0,96.33,8.41,3.83,4.3
1985,3,8,24.15,-11.67,15.15,34.83,1.59,0,96.62,7.15,3.68,3.65
1985,3,9,24.73,-6.31,16.49,35.19,2.44,0,96.75,8.56,2.37,3.17
1985,3,10,24.62,-5.57,16.17,34.92,2.56,0,96.6,8.15,2.98,3.62
1985,3,11,25.62,-2.75,16.27,35.75,3.17,0,96.6,6.84,1.68,3.41
1985,3,12,25.16,-3.29,16.51,35.16,3.05,0,96.55,8.66,3.9,4.2
1985,3,13,23.42,-10.7,15.78,33.71,1.77,0,96.57,8.52,4.88,4.25
1985,3,14,23.15,-16.6,13.98,34.03,0.85,0,96.47,8.3,4.55,3.98
1985,3,15,25.65,-12.35,17.39,36.01,1.46,0,96.48,5.38,1.94,2.97
1985,3,16,27.11,-4.79,17.48,37.3,2.81,0,96.25,9.49,1.39,4.37
1985,3,17,25.79,-4.08,17.59,34.75,2.93,0,96.18,10.59,3.94,5.06
1985,3,18,22.09,-11.45,15.62,30.97,1.59,0,96.18,10.72,6.68,5.98
1985,3,19,21.46,-13.16,12.37,31.72,1.34,0,96.42,8.3,3.38,3.72
1985,3,20,23.43,-12.27,13.69,34.33,1.4,0,96.41,5.7,3.5,3.48
1985,3,21,25.44,-8.31,18.47,34.77,2.01,0,96.4,5.97,1.94,2.58
1985,3,22,26.48,-4.19,18.96,34.27,2.93,0,96.28,5.89,1.98,2.77
1985,3,23,28.69,3.04,20,38.53,4.94,0,95.8,8.57,5.86,4.48
1985,3,24,27.31,2.87,19.63,36.08,4.88,0,95.94,8.89,3.82,3.57
1985,3,25,27.56,2.78,19.03,37.02,4.88,0.01,96.28,6.98,1.75,2.62
1985,3,26,29.91,0.73,21.98,38.54,4.15,0,96.26,5.52,1.66,2.33
1985,3,27,30.48,4.62,23.36,38.79,5.62,0,96.06,7.51,0.8,2.45
1985,3,28,29.15,8.19,21.69,37.32,7.08,0,96.02,6.37,3.71,3.55
1985,3,29,28.96,4.41,22.19,37.17,5.49,0,96.03,6.88,2.77,3.6
1985,3,30,27.39,2.97,20.12,35.38,4.88,0.14,96.24,9.17,3.55,3.86
1985,3,31,27.3,4.4,21.1,34.65,5.43,0.75,96.26,9.7,1.97,3.93
1985,4,1,28.26,8.05,20.05,35.9,7.08,0.01,96.44,6.43,0.12,2.01
1985,4,2,26.08,9.26,20.45,33.67,7.57,0.35,96.51,10.2,1.12,4.66
1985,4,3,24.88,12.73,19.33,31.8,9.7,11.28,96.3,8.2,0.85,3.52
1985,4,4,24.92,11.48,16.94,32.63,8.85,0.55,96.23,6.85,1.59,2.55
1985,4,5,27.31,11.68,18.52,34.65,8.91,0,96.25,6.43,0.54,2.21
1985,4,6,28.55,11.47,20.47,35.57,8.85,0,96.22,6.3,2.34,2.7
1985,4,7,28.98,11.48,21.53,36.63,8.85,0.02,95.93,7.81,1.59,3.13
1985,4,8,29.09,11.48,22.11,36.88,8.91,0.13,95.61,7.94,5.32,4.45
1985,4,9,29.51,11,22.23,36.75,8.67,0.05,95.54,11.88,5.87,6.12
1985,4,10,27.13,7.22,20.28,34.56,6.77,0,96,8.11,5.07,4.67
1985,4,11,26.6,2.22,17.8,35.8,4.7,0.06,95.98,7.46,4.51,4.31
1985,4,12,29.2,2.8,21.32,38.3,4.88,0,95.77,9.35,0.51,4.12
1985,4,13,28.01,3.25,21.31,35.97,5.07,0,95.63,10.24,7.16,5.95
1985,4,14,26.87,3.4,19.16,34.88,5.07,0,95.86,8.09,4.98,4.45
